Case    |No      |Elem    |    F_A(t)  
     55.|      2.|    110.|      -25.93
     55.|      3.|     70.|       -9.24
     55.|      4.|     70.|       -9.24
     55.|      5.|     70.|       -9.24
     55.|      6.|     70.|       -9.24
     56.|      1.|    138.|       73.35
     56.|      2.|    110.|      -26.26
     56.|      3.|     70.|      -10.21
     56.|      4.|     70.|      -10.21
     56.|      5.|     70.|      -10.21
     56.|      6.|     70.|      -10.21
     57.|      1.|    138.|       73.37
     57.|      2.|    110.|      -26.59
     57.|      3.|     70.|      -11.18
     57.|      4.|     70.|      -11.18
     57.|      5.|     70.|      -11.18
     57.|      6.|     70.|      -11.18
     58.|      1.|    138.|       73.38
     58.|      2.|    110.|      -26.92
     58.|      3.|     70.|      -12.15
     58.|      4.|     70.|      -12.15
     58.|      5.|     70.|      -12.15
     58.|      6.|     70.|      -12.15
     59.|      1.|    138.|       73.36
     59.|      2.|    110.|      -27.23
     59.|      3.|     70.|      -13.11
     59.|      4.|     70.|      -13.11
     59.|      5.|     70.|      -13.11
     59.|      6.|     70.|      -13.11
     60.|      1.|    138.|       73.32
     60.|      2.|    110.|      -27.53
     60.|      3.|     70.|      -14.07
     60.|      4.|     70.|      -14.07
     60.|      5.|     70.|      -14.07
     60.|      6.|     70.|      -14.07
     61.|      1.|    138.|       73.25
     61.|      2.|    110.|      -27.83
     61.|      3.|     70.|      -15.03
     61.|      4.|     70.|      -15.03
     61.|      5.|     70.|      -15.03
     61.|      6.|     70.|      -15.03
     62.|      1.|    138.|       73.17
     62.|      2.|    110.|      -28.12
     62.|      3.|     70.|      -15.98
     62.|      4.|     70.|      -15.98
     62.|      5.|     70.|      -15.98
     62.|      6.|     70.|      -15.98
     63.|      1.|    138.|       73.06
     63.|      2.|    110.|      -28.40
     63.|      3.|     70.|      -16.92
     63.|      4.|     70.|      -16.92
     63.|      5.|     70.|      -16.92
     63.|      6.|     70.|      -16.92
     64.|      1.|    138.|       72.93
     64.|      2.|    110.|      -28.67
     64.|      3.|     70.|      -17.86
     64.|      4.|     70.|      -17.86
     64.|      5.|     70.|      -17.86
     64.|      6.|     70.|      -17.86
     65.|      1.|    138.|       72.78
     65.|      2.|    110.|      -28.93
     65.|      3.|     70.|      -18.80
     65.|      4.|     70.|      -18.80
     65.|      5.|     70.|      -18.80
     65.|      6.|     70.|      -18.80
     66.|      1.|    138.|       72.60
     66.|      2.|    110.|      -29.19
     66.|      3.|     70.|      -19.72
     66.|      4.|     70.|      -19.72
     66.|      5.|     70.|      -19.72
     66.|      6.|     70.|      -19.72
     67.|      1.|    138.|       72.41
     67.|      2.|    110.|      -29.43
     67.|      3.|     70.|      -20.65
     67.|      4.|     70.|      -20.65
     67.|      5.|     70.|      -20.65
     67.|      6.|     70.|      -20.65
     68.|      1.|    138.|       72.19
     68.|      2.|    110.|      -29.67
     68.|      3.|     70.|      -21.56
     68.|      4.|     70.|      -21.56
     68.|      5.|     70.|      -21.56
     68.|      6.|     70.|      -21.56
     69.|      1.|    138.|       71.95
     69.|      2.|    110.|      -29.89
     69.|      3.|     70.|      -22.47
     69.|      4.|     70.|      -22.47
     69.|      5.|     70.|      -22.47
     69.|      6.|     70.|      -22.47
     70.|      1.|    138.|       71.69
     70.|      2.|    110.|      -30.11
     70.|      3.|     70.|      -23.38
     70.|      4.|     70.|      -23.38
     70.|      5.|     70.|      -23.38
     70.|      6.|     70.|      -23.38
     71.|      1.|    138.|       71.40
     71.|      2.|    110.|      -30.32
     71.|      3.|     70.|      -24.27
     71.|      4.|     70.|      -24.27
     71.|      5.|     70.|      -24.27
     71.|      6.|     70.|      -24.27
     72.|      1.|    138.|       71.10
     72.|      2.|    110.|      -30.52
     72.|      3.|     70.|      -25.16
     72.|      4.|     70.|      -25.16
     72.|      5.|     70.|      -25.16
     72.|      6.|     70.|      -25.16
     73.|      1.|    138.|       70.77
     73.|      2.|    110.|      -30.71
     73.|      3.|     70.|      -26.04
     73.|      4.|     70.|      -26.04
     73.|      5.|     70.|      -26.04
     73.|      6.|     70.|      -26.04
     74.|      1.|    138.|       70.42
     74.|      2.|    110.|      -30.89
     74.|      3.|     70.|      -26.91
     74.|      4.|     70.|      -26.91
     74.|      5.|     70.|      -26.91
     74.|      6.|     70.|      -26.91
     75.|      1.|    138.|       70.05
     75.|      2.|    110.|      -31.06
     75.|      3.|     70.|      -27.78
     75.|      4.|     70.|      -27.78
     75.|      5.|     70.|      -27.78
     75.|      6.|     70.|      -27.78
     76.|      1.|    138.|       69.66
     76.|      2.|    110.|      -31.22
     76.|      3.|     70.|      -28.64
     76.|      4.|     70.|      -28.64
     76.|      5.|     70.|      -28.64
     76.|      6.|     70.|      -28.64
     77.|      1.|    138.|       69.24
     77.|      2.|    110.|      -31.38
     77.|      3.|     70.|      -29.48
     77.|      4.|     70.|      -29.48
     77.|      5.|     70.|      -29.48
     77.|      6.|     70.|      -29.48
     78.|      1.|    138.|       68.81
     78.|      2.|    110.|      -31.52
     78.|      3.|     70.|      -30.32
     78.|      4.|     70.|      -30.32
     78.|      5.|     70.|      -30.32
     78.|      6.|     70.|      -30.32
     79.|      1.|    138.|       68.35
     79.|      2.|    110.|      -31.65
     79.|      3.|     70.|      -31.15
     79.|      4.|     70.|      -31.15
     79.|      5.|     70.|      -31.15
     79.|      6.|     70.|      -31.15
     80.|      1.|    138.|       67.88
     80.|      2.|    110.|      -31.77
     80.|      3.|     70.|      -31.97
     80.|      4.|     70.|      -31.97
     80.|      5.|     70.|      -31.97
     80.|      6.|     70.|      -31.97
     81.|      1.|    138.|       67.38
     81.|      2.|    110.|      -31.89
     81.|      3.|     70.|      -32.78
     81.|      4.|     70.|      -32.78
     81.|      5.|     70.|      -32.78
     81.|      6.|     70.|      -32.78
     82.|      1.|    138.|       66.86
     82.|      2.|    110.|      -31.99
     82.|      3.|     70.|      -33.58
     82.|      4.|     70.|      -33.58
     82.|      5.|     70.|      -33.58
     82.|      6.|     70.|      -33.58
     83.|      1.|    138.|       66.33
     83.|      2.|    110.|      -32.09
     83.|      3.|     70.|      -34.37
     83.|      4.|     70.|      -34.37
     83.|      5.|     70.|      -34.37
     83.|      6.|     70.|      -34.37
     84.|      1.|    138.|       65.77
     84.|      2.|    110.|      -32.17
     84.|      3.|     70.|      -35.15
     84.|      4.|     70.|      -35.15
     84.|      5.|     70.|      -35.15
     84.|      6.|     70.|      -35.15
     85.|      1.|    138.|       65.19
     85.|      2.|    110.|      -32.25
     85.|      3.|     70.|      -35.92
     85.|      4.|     70.|      -35.92
     85.|      5.|     70.|      -35.92
     85.|      6.|     70.|      -35.92
     86.|      1.|    138.|       64.59
     86.|      2.|    110.|      -32.31
     86.|      3.|     70.|      -36.68
     86.|      4.|     70.|      -36.68
     86.|      5.|     70.|      -36.68
     86.|      6.|     70.|      -36.68
     87.|      1.|    138.|       63.98
     87.|      2.|    110.|      -32.37
     87.|      3.|     70.|      -37.42
     87.|      4.|     70.|      -37.42
     87.|      5.|     70.|      -37.42
     87.|      6.|     70.|      -37.42
     88.|      1.|    138.|       63.34
     88.|      2.|    110.|      -32.41
     88.|      3.|     70.|      -38.16
     88.|      4.|     70.|      -38.16
     88.|      5.|     70.|      -38.16
     88.|      6.|     70.|      -38.16
     89.|      1.|    138.|       62.68
     89.|      2.|    110.|      -32.45
     89.|      3.|     70.|      -38.88
     89.|      4.|     70.|      -38.88
     89.|      5.|     70.|      -38.88
     89.|      6.|     70.|      -38.88
     90.|      1.|    138.|       62.01
     90.|      2.|    110.|      -32.47
     90.|      3.|     70.|      -39.59
     90.|      4.|     70.|      -39.59
     90.|      5.|     70.|      -39.59
     90.|      6.|     70.|      -39.59
     91.|      1.|    138.|       61.31
     91.|      2.|    110.|      -32.49
     91.|      3.|     70.|      -40.29
     91.|      4.|     70.|      -40.29
     91.|      5.|     70.|      -40.29
     91.|      6.|     70.|      -40.29
     92.|      1.|    138.|       60.60
     92.|      2.|    110.|      -32.49
     92.|      3.|     70.|      -40.98
     92.|      4.|     70.|      -40.98
     92.|      5.|     70.|      -40.98
     92.|      6.|     70.|      -40.98
     93.|      1.|    138.|       59.87
     93.|      2.|    110.|      -32.49
     93.|      3.|     70.|      -41.66
     93.|      4.|     70.|      -41.66
     93.|      5.|     70.|      -41.66
     93.|      6.|     70.|      -41.66
     94.|      1.|    138.|       59.12
     94.|      2.|    110.|      -32.47
     94.|      3.|     70.|      -42.32
     94.|      4.|     70.|      -42.32
     94.|      5.|     70.|      -42.32
     94.|      6.|     70.|      -42.32
     95.|      1.|    138.|       58.35
     95.|      2.|    110.|      -32.45
     95.|      3.|     70.|      -42.97
     95.|      4.|     70.|      -42.97
     95.|      5.|     70.|      -42.97
     95.|      6.|     70.|      -42.97
     96.|      1.|    138.|       57.57
     96.|      2.|    110.|      -32.42
     96.|      3.|     70.|      -43.60
     96.|      4.|     70.|      -43.60
     96.|      5.|     70.|      -43.60
     96.|      6.|     70.|      -43.60
     97.|      1.|    138.|       56.76
     97.|      2.|    110.|      -32.37
     97.|      3.|     70.|      -44.23
     97.|      4.|     70.|      -44.23
     97.|      5.|     70.|      -44.23
     97.|      6.|     70.|      -44.23
     98.|      1.|    138.|       55.94
     98.|      2.|    110.|      -32.32
     98.|      3.|     70.|      -44.84
     98.|      4.|     70.|      -44.84
     98.|      5.|     70.|      -44.84
     98.|      6.|     70.|      -44.84
     99.|      1.|    138.|       55.11
     99.|      2.|    110.|      -32.26
     99.|      3.|     70.|      -45.43
     99.|      4.|     70.|      -45.43
     99.|      5.|     70.|      -45.43
     99.|      6.|     70.|      -45.43
    100.|      1.|    138.|       54.25
    100.|      2.|    110.|      -32.18
    100.|      3.|     70.|      -46.01
    100.|      4.|     70.|      -46.01
    100.|      5.|     70.|      -46.01
    100.|      6.|     70.|      -46.01
    101.|      1.|    138.|       53.38
    101.|      2.|    110.|      -32.10
