Case    |No      |Elem    |    F_A(t)  
    264.|      2.|    110.|       32.17
    264.|      3.|     70.|       35.15
    264.|      4.|     70.|       35.15
    264.|      5.|     70.|       35.15
    264.|      6.|     70.|       35.15
    265.|      1.|    138.|      -65.19
    265.|      2.|    110.|       32.25
    265.|      3.|     70.|       35.92
    265.|      4.|     70.|       35.92
    265.|      5.|     70.|       35.92
    265.|      6.|     70.|       35.92
    266.|      1.|    138.|      -64.59
    266.|      2.|    110.|       32.31
    266.|      3.|     70.|       36.68
    266.|      4.|     70.|       36.68
    266.|      5.|     70.|       36.68
    266.|      6.|     70.|       36.68
    267.|      1.|    138.|      -63.98
    267.|      2.|    110.|       32.37
    267.|      3.|     70.|       37.42
    267.|      4.|     70.|       37.42
    267.|      5.|     70.|       37.42
    267.|      6.|     70.|       37.42
    268.|      1.|    138.|      -63.34
    268.|      2.|    110.|       32.41
    268.|      3.|     70.|       38.16
    268.|      4.|     70.|       38.16
    268.|      5.|     70.|       38.16
    268.|      6.|     70.|       38.16
    269.|      1.|    138.|      -62.68
    269.|      2.|    110.|       32.45
    269.|      3.|     70.|       38.88
    269.|      4.|     70.|       38.88
    269.|      5.|     70.|       38.88
    269.|      6.|     70.|       38.88
    270.|      1.|    138.|      -62.01
    270.|      2.|    110.|       32.47
    270.|      3.|     70.|       39.59
    270.|      4.|     70.|       39.59
    270.|      5.|     70.|       39.59
    270.|      6.|     70.|       39.59
    271.|      1.|    138.|      -61.31
    271.|      2.|    110.|       32.49
    271.|      3.|     70.|       40.29
    271.|      4.|     70.|       40.29
    271.|      5.|     70.|       40.29
    271.|      6.|     70.|       40.29
    272.|      1.|    138.|      -60.60
    272.|      2.|    110.|       32.49
    272.|      3.|     70.|       40.98
    272.|      4.|     70.|       40.98
    272.|      5.|     70.|       40.98
    272.|      6.|     70.|       40.98
    273.|      1.|    138.|      -59.87
    273.|      2.|    110.|       32.49
    273.|      3.|     70.|       41.66
    273.|      4.|     70.|       41.66
    273.|      5.|     70.|       41.66
    273.|      6.|     70.|       41.66
    274.|      1.|    138.|      -59.12
    274.|      2.|    110.|       32.47
    274.|      3.|     70.|       42.32
    274.|      4.|     70.|       42.32
    274.|      5.|     70.|       42.32
    274.|      6.|     70.|       42.32
    275.|      1.|    138.|      -58.35
    275.|      2.|    110.|       32.45
    275.|      3.|     70.|       42.97
    275.|      4.|     70.|       42.97
    275.|      5.|     70.|       42.97
    275.|      6.|     70.|       42.97
    276.|      1.|    138.|      -57.57
    276.|      2.|    110.|       32.42
    276.|      3.|     70.|       43.60
    276.|      4.|     70.|       43.60
    276.|      5.|     70.|       43.60
    276.|      6.|     70.|       43.60
    277.|      1.|    138.|      -56.76
    277.|      2.|    110.|       32.37
    277.|      3.|     70.|       44.23
    277.|      4.|     70.|       44.23
    277.|      5.|     70.|       44.23
    277.|      6.|     70.|       44.23
    278.|      1.|    138.|      -55.94
    278.|      2.|    110.|       32.32
    278.|      3.|     70.|       44.84
    278.|      4.|     70.|       44.84
    278.|      5.|     70.|       44.84
    278.|      6.|     70.|       44.84
    279.|      1.|    138.|      -55.11
    279.|      2.|    110.|       32.26
    279.|      3.|     70.|       45.43
    279.|      4.|     70.|       45.43
    279.|      5.|     70.|       45.43
    279.|      6.|     70.|       45.43
    280.|      1.|    138.|      -54.25
    280.|      2.|    110.|       32.18
    280.|      3.|     70.|       46.01
    280.|      4.|     70.|       46.01
    280.|      5.|     70.|       46.01
    280.|      6.|     70.|       46.01
    281.|      1.|    138.|      -53.38
    281.|      2.|    110.|       32.10
    281.|      3.|     70.|       46.58
    281.|      4.|     70.|       46.58
    281.|      5.|     70.|       46.58
    281.|      6.|     70.|       46.58
    282.|      1.|    138.|      -52.50
    282.|      2.|    110.|       32.01
    282.|      3.|     70.|       47.13
    282.|      4.|     70.|       47.13
    282.|      5.|     70.|       47.13
    282.|      6.|     70.|       47.13
    283.|      1.|    138.|      -51.59
    283.|      2.|    110.|       31.90
    283.|      3.|     70.|       47.67
    283.|      4.|     70.|       47.67
    283.|      5.|     70.|       47.67
    283.|      6.|     70.|       47.67
    284.|      1.|    138.|      -50.68
    284.|      2.|    110.|       31.79
    284.|      3.|     70.|       48.20
    284.|      4.|     70.|       48.20
    284.|      5.|     70.|       48.20
    284.|      6.|     70.|       48.20
    285.|      1.|    138.|      -49.74
    285.|      2.|    110.|       31.67
    285.|      3.|     70.|       48.71
    285.|      4.|     70.|       48.71
    285.|      5.|     70.|       48.71
    285.|      6.|     70.|       48.71
    286.|      1.|    138.|      -48.79
    286.|      2.|    110.|       31.54
    286.|      3.|     70.|       49.20
    286.|      4.|     70.|       49.20
    286.|      5.|     70.|       49.20
    286.|      6.|     70.|       49.20
    287.|      1.|    138.|      -47.83
    287.|      2.|    110.|       31.40
    287.|      3.|     70.|       49.69
    287.|      4.|     70.|       49.69
    287.|      5.|     70.|       49.69
    287.|      6.|     70.|       49.69
    288.|      1.|    138.|      -46.85
    288.|      2.|    110.|       31.25
    288.|      3.|     70.|       50.15
    288.|      4.|     70.|       50.15
    288.|      5.|     70.|       50.15
    288.|      6.|     70.|       50.15
    289.|      1.|    138.|      -45.86
    289.|      2.|    110.|       31.09
    289.|      3.|     70.|       50.60
    289.|      4.|     70.|       50.60
    289.|      5.|     70.|       50.60
    289.|      6.|     70.|       50.60
    290.|      1.|    138.|      -44.85
    290.|      2.|    110.|       30.92
    290.|      3.|     70.|       51.03
    290.|      4.|     70.|       51.03
    290.|      5.|     70.|       51.03
    290.|      6.|     70.|       51.03
    291.|      1.|    138.|      -43.83
    291.|      2.|    110.|       30.74
    291.|      3.|     70.|       51.45
    291.|      4.|     70.|       51.45
    291.|      5.|     70.|       51.45
    291.|      6.|     70.|       51.45
    292.|      1.|    138.|      -42.80
    292.|      2.|    110.|       30.55
    292.|      3.|     70.|       51.86
    292.|      4.|     70.|       51.86
    292.|      5.|     70.|       51.86
    292.|      6.|     70.|       51.86
    293.|      1.|    138.|      -41.75
    293.|      2.|    110.|       30.35
    293.|      3.|     70.|       52.24
    293.|      4.|     70.|       52.24
    293.|      5.|     70.|       52.24
    293.|      6.|     70.|       52.24
    294.|      1.|    138.|      -40.69
    294.|      2.|    110.|       30.14
    294.|      3.|     70.|       52.62
    294.|      4.|     70.|       52.62
    294.|      5.|     70.|       52.62
    294.|      6.|     70.|       52.62
    295.|      1.|    138.|      -39.62
    295.|      2.|    110.|       29.93
    295.|      3.|     70.|       52.97
    295.|      4.|     70.|       52.97
    295.|      5.|     70.|       52.97
    295.|      6.|     70.|       52.97
    296.|      1.|    138.|      -38.53
    296.|      2.|    110.|       29.70
    296.|      3.|     70.|       53.31
    296.|      4.|     70.|       53.31
    296.|      5.|     70.|       53.31
    296.|      6.|     70.|       53.31
    297.|      1.|    138.|      -37.44
    297.|      2.|    110.|       29.47
    297.|      3.|     70.|       53.63
    297.|      4.|     70.|       53.63
    297.|      5.|     70.|       53.63
    297.|      6.|     70.|       53.63
    298.|      1.|    138.|      -36.33
    298.|      2.|    110.|       29.22
    298.|      3.|     70.|       53.94
    298.|      4.|     70.|       53.94
    298.|      5.|     70.|       53.94
    298.|      6.|     70.|       53.94
    299.|      1.|    138.|      -35.21
    299.|      2.|    110.|       28.97
    299.|      3.|     70.|       54.23
    299.|      4.|     70.|       54.23
    299.|      5.|     70.|       54.23
    299.|      6.|     70.|       54.23
    300.|      1.|    138.|      -34.08
    300.|      2.|    110.|       28.71
    300.|      3.|     70.|       54.51
    300.|      4.|     70.|       54.51
    300.|      5.|     70.|       54.51
    300.|      6.|     70.|       54.51
    301.|      1.|    138.|      -32.95
    301.|      2.|    110.|       28.44
    301.|      3.|     70.|       54.76
    301.|      4.|     70.|       54.76
    301.|      5.|     70.|       54.76
    301.|      6.|     70.|       54.76
    302.|      1.|    138.|      -31.80
    302.|      2.|    110.|       28.16
    302.|      3.|     70.|       55.00
    302.|      4.|     70.|       55.00
    302.|      5.|     70.|       55.00
    302.|      6.|     70.|       55.00
    303.|      1.|    138.|      -30.64
    303.|      2.|    110.|       27.87
    303.|      3.|     70.|       55.23
    303.|      4.|     70.|       55.23
    303.|      5.|     70.|       55.23
    303.|      6.|     70.|       55.23
    304.|      1.|    138.|      -29.47
    304.|      2.|    110.|       27.58
    304.|      3.|     70.|       55.43
    304.|      4.|     70.|       55.43
    304.|      5.|     70.|       55.43
    304.|      6.|     70.|       55.43
    305.|      1.|    138.|      -28.29
    305.|      2.|    110.|       27.27
    305.|      3.|     70.|       55.63
    305.|      4.|     70.|       55.63
    305.|      5.|     70.|       55.63
    305.|      6.|     70.|       55.63
    306.|      1.|    138.|      -27.11
    306.|      2.|    110.|       26.96
    306.|      3.|     70.|       55.80
    306.|      4.|     70.|       55.80
    306.|      5.|     70.|       55.80
    306.|      6.|     70.|       55.80
    307.|      1.|    138.|      -25.91
    307.|      2.|    110.|       26.64
    307.|      3.|     70.|       55.95
    307.|      4.|     70.|       55.95
    307.|      5.|     70.|       55.95
    307.|      6.|     70.|       55.95
    308.|      1.|    138.|      -24.71
    308.|      2.|    110.|       26.31
    308.|      3.|     70.|       56.09
    308.|      4.|     70.|       56.09
    308.|      5.|     70.|       56.09
    308.|      6.|     70.|       56.09
    309.|      1.|    138.|      -23.50
    309.|      2.|    110.|       25.97
    309.|      3.|     70.|       56.22
    309.|      4.|     70.|       56.22
    309.|      5.|     70.|       56.22
    309.|      6.|     70.|       56.22
    310.|      1.|    138.|      -22.28
    310.|      2.|    110.|       25.63
    310.|      3.|     70.|       56.32
    310.|      4.|     70.|       56.32
    310.|      5.|     70.|       56.32
    310.|      6.|     70.|       56.32
    311.|      1.|    138.|      -21.06
    311.|      2.|    110.|       25.28
    311.|      3.|     70.|       56.41
    311.|      4.|     70.|       56.41
    311.|      5.|     70.|       56.41
    311.|      6.|     70.|       56.41
    312.|      1.|    138.|      -19.83
    312.|      2.|    110.|       24.92
    312.|      3.|     70.|       56.48
    312.|      4.|     70.|       56.48
    312.|      5.|     70.|       56.48
    312.|      6.|     70.|       56.48
    313.|      1.|    138.|      -18.59
    313.|      2.|    110.|       24.55
    313.|      3.|     70.|       56.53
    313.|      4.|     70.|       56.53
    313.|      5.|     70.|       56.53
    313.|      6.|     70.|       56.53
    314.|      1.|    138.|      -17.35
    314.|      2.|    110.|       24.17
    314.|      3.|     70.|       56.57
    314.|      4.|     70.|       56.57
    314.|      5.|     70.|       56.57
    314.|      6.|     70.|       56.57
    315.|      1.|    138.|      -16.11
    315.|      2.|    110.|       23.79
    315.|      3.|     70.|       56.59
    315.|      4.|     70.|       56.59
    315.|      5.|     70.|       56.59
    315.|      6.|     70.|       56.59
    316.|      1.|    138.|      -14.85
    316.|      2.|    110.|       23.40
    316.|      3.|     70.|       56.59
    316.|      4.|     70.|       56.59
    316.|      5.|     70.|       56.59
    316.|      6.|     70.|       56.59
    317.|      1.|    138.|      -13.60
    317.|      2.|    110.|       23.00
    317.|      3.|     70.|       56.57
    317.|      4.|     70.|       56.57
    317.|      5.|     70.|       56.57
    317.|      6.|     70.|       56.57
    318.|      1.|    138.|      -12.34
    318.|      2.|    110.|       22.60
    318.|      3.|     70.|       56.54
    318.|      4.|     70.|       56.54
    318.|      5.|     70.|       56.54
    318.|      6.|     70.|       56.54
    319.|      1.|    138.|      -11.07
    319.|      2.|    110.|       22.19
    319.|      3.|     70.|       56.49
    319.|      4.|     70.|       56.49
    319.|      5.|     70.|       56.49
    319.|      6.|     70.|       56.49
    320.|      1.|    138.|       -9.80
    320.|      2.|    110.|       21.77
    320.|      3.|     70.|       56.42
    320.|      4.|     70.|       56.42
    320.|      5.|     70.|       56.42
    320.|      6.|     70.|       56.42
    321.|      1.|    138.|       -8.53
    321.|      2.|    110.|       21.35
    321.|      3.|     70.|       56.34
    321.|      4.|     70.|       56.34
    321.|      5.|     70.|       56.34
    321.|      6.|     70.|       56.34
    322.|      1.|    138.|       -7.26
    322.|      2.|    110.|       20.92
    322.|      3.|     70.|       56.24
    322.|      4.|     70.|       56.24
    322.|      5.|     70.|       56.24
    322.|      6.|     70.|       56.24
    323.|      1.|    138.|       -5.99
    323.|      2.|    110.|       20.48
    323.|      3.|     70.|       56.12
    323.|      4.|     70.|       56.12
    323.|      5.|     70.|       56.12
    323.|      6.|     70.|       56.12
    324.|      1.|    138.|       -4.71
    324.|      2.|    110.|       20.04
    324.|      3.|     70.|       55.98
    324.|      4.|     70.|       55.98
    324.|      5.|     70.|       55.98
    324.|      6.|     70.|       55.98
    325.|      1.|    138.|       -3.43
    325.|      2.|    110.|       19.59
    325.|      3.|     70.|       55.83
    325.|      4.|     70.|       55.83
    325.|      5.|     70.|       55.83
    325.|      6.|     70.|       55.83
    326.|      1.|    138.|       -2.15
    326.|      2.|    110.|       19.13
    326.|      3.|     70.|       55.66
    326.|      4.|     70.|       55.66
    326.|      5.|     70.|       55.66
    326.|      6.|     70.|       55.66
    327.|      1.|    138.|       -0.87
    327.|      2.|    110.|       18.67
    327.|      3.|     70.|       55.47
    327.|      4.|     70.|       55.47
    327.|      5.|     70.|       55.47
    327.|      6.|     70.|       55.47
    328.|      1.|    138.|        0.41
    328.|      2.|    110.|       18.20
    328.|      3.|     70.|       55.27
    328.|      4.|     70.|       55.27
    328.|      5.|     70.|       55.27
    328.|      6.|     70.|       55.27
    329.|      1.|    138.|        1.69
    329.|      2.|    110.|       17.73
    329.|      3.|     70.|       55.05
    329.|      4.|     70.|       55.05
    329.|      5.|     70.|       55.05
    329.|      6.|     70.|       55.05
    330.|      1.|    138.|        2.97
    330.|      2.|    110.|       17.25
    330.|      3.|     70.|       54.81
    330.|      4.|     70.|       54.81
    330.|      5.|     70.|       54.81
    330.|      6.|     70.|       54.81
    331.|      1.|    138.|        4.25
    331.|      2.|    110.|       16.77
    331.|      3.|     70.|       54.56
    331.|      4.|     70.|       54.56
    331.|      5.|     70.|       54.56
    331.|      6.|     70.|       54.56
    332.|      1.|    138.|        5.53
    332.|      2.|    110.|       16.28
    332.|      3.|     70.|       54.29
    332.|      4.|     70.|       54.29
    332.|      5.|     70.|       54.29
    332.|      6.|     70.|       54.29
    333.|      1.|    138.|        6.80
    333.|      2.|    110.|       15.79
    333.|      3.|     70.|       54.00
    333.|      4.|     70.|       54.00
    333.|      5.|     70.|       54.00
    333.|      6.|     70.|       54.00
    334.|      1.|    138.|        8.08
    334.|      2.|    110.|       15.29
    334.|      3.|     70.|       53.70
    334.|      4.|     70.|       53.70
    334.|      5.|     70.|       53.70
    334.|      6.|     70.|       53.70
    335.|      1.|    138.|        9.35
    335.|      2.|    110.|       14.79
    335.|      3.|     70.|       53.38
    335.|      4.|     70.|       53.38
    335.|      5.|     70.|       53.38
    335.|      6.|     70.|       53.38
    336.|      1.|    138.|       10.62
    336.|      2.|    110.|       14.28
    336.|      3.|     70.|       53.04
    336.|      4.|     70.|       53.04
    336.|      5.|     70.|       53.04
    336.|      6.|     70.|       53.04
    337.|      1.|    138.|       11.88
    337.|      2.|    110.|       13.77
    337.|      3.|     70.|       52.69
    337.|      4.|     70.|       52.69
    337.|      5.|     70.|       52.69
    337.|      6.|     70.|       52.69
    338.|      1.|    138.|       13.15
    338.|      2.|    110.|       13.25
    338.|      3.|     70.|       52.32
    338.|      4.|     70.|       52.32
    338.|      5.|     70.|       52.32
    338.|      6.|     70.|       52.32
    339.|      1.|    138.|       14.40
    339.|      2.|    110.|       12.73
    339.|      3.|     70.|       51.94
    339.|      4.|     70.|       51.94
    339.|      5.|     70.|       51.94
    339.|      6.|     70.|       51.94
    340.|      1.|    138.|       15.66
    340.|      2.|    110.|       12.21
    340.|      3.|     70.|       51.54
    340.|      4.|     70.|       51.54
    340.|      5.|     70.|       51.54
    340.|      6.|     70.|       51.54
    341.|      1.|    138.|       16.91
    341.|      2.|    110.|       11.68
    341.|      3.|     70.|       51.12
    341.|      4.|     70.|       51.12
    341.|      5.|     70.|       51.12
    341.|      6.|     70.|       51.12
    342.|      1.|    138.|       18.15
    342.|      2.|    110.|       11.15
    342.|      3.|     70.|       50.69
    342.|      4.|     70.|       50.69
    342.|      5.|     70.|       50.69
    342.|      6.|     70.|       50.69
    343.|      1.|    138.|       19.39
    343.|      2.|    110.|       10.62
    343.|      3.|     70.|       50.24
    343.|      4.|     70.|       50.24
    343.|      5.|     70.|       50.24
    343.|      6.|     70.|       50.24
    344.|      1.|    138.|       20.62
    344.|      2.|    110.|       10.08
    344.|      3.|     70.|       49.78
    344.|      4.|     70.|       49.78
    344.|      5.|     70.|       49.78
    344.|      6.|     70.|       49.78
    345.|      1.|    138.|       21.85
    345.|      2.|    110.|        9.54
    345.|      3.|     70.|       49.30
    345.|      4.|     70.|       49.30
    345.|      5.|     70.|       49.30
    345.|      6.|     70.|       49.30
    346.|      1.|    138.|       23.07
    346.|      2.|    110.|        9.00
    346.|      3.|     70.|       48.81
    346.|      4.|     70.|       48.81
    346.|      5.|     70.|       48.81
    346.|      6.|     70.|       48.81
    347.|      1.|    138.|       24.28
    347.|      2.|    110.|        8.45
    347.|      3.|     70.|       48.30
    347.|      4.|     70.|       48.30
    347.|      5.|     70.|       48.30
    347.|      6.|     70.|       48.30
    348.|      1.|    138.|       25.48
    348.|      2.|    110.|        7.90
    348.|      3.|     70.|       47.78
    348.|      4.|     70.|       47.78
    348.|      5.|     70.|       47.78
    348.|      6.|     70.|       47.78
    349.|      1.|    138.|       26.68
    349.|      2.|    110.|        7.35
    349.|      3.|     70.|       47.25
    349.|      4.|     70.|       47.25
    349.|      5.|     70.|       47.25
    349.|      6.|     70.|       47.25
    350.|      1.|    138.|       27.87
    350.|      2.|    110.|        6.80
    350.|      3.|     70.|       46.70
    350.|      4.|     70.|       46.70
    350.|      5.|     70.|       46.70
    350.|      6.|     70.|       46.70
    351.|      1.|    138.|       29.05
    351.|      2.|    110.|        6.24
    351.|      3.|     70.|       46.13
    351.|      4.|     70.|       46.13
    351.|      5.|     70.|       46.13
    351.|      6.|     70.|       46.13
    352.|      1.|    138.|       30.22
    352.|      2.|    110.|        5.68
    352.|      3.|     70.|       45.55
    352.|      4.|     70.|       45.55
    352.|      5.|     70.|       45.55
    352.|      6.|     70.|       45.55
    353.|      1.|    138.|       31.38
    353.|      2.|    110.|        5.12
    353.|      3.|     70.|       44.96
    353.|      4.|     70.|       44.96
    353.|      5.|     70.|       44.96
    353.|      6.|     70.|       44.96
    354.|      1.|    138.|       32.54
    354.|      2.|    110.|        4.56
    354.|      3.|     70.|       44.35
    354.|      4.|     70.|       44.35
    354.|      5.|     70.|       44.35
    354.|      6.|     70.|       44.35
    355.|      1.|    138.|       33.68
    355.|      2.|    110.|        4.00
    355.|      3.|     70.|       43.73
    355.|      4.|     70.|       43.73
    355.|      5.|     70.|       43.73
    355.|      6.|     70.|       43.73
    356.|      1.|    138.|       34.81
    356.|      2.|    110.|        3.44
    356.|      3.|     70.|       43.10
    356.|      4.|     70.|       43.10
    356.|      5.|     70.|       43.10
    356.|      6.|     70.|       43.10
    357.|      1.|    138.|       35.93
    357.|      2.|    110.|        2.87
    357.|      3.|     70.|       42.45
    357.|      4.|     70.|       42.45
    357.|      5.|     70.|       42.45
    357.|      6.|     70.|       42.45
    358.|      1.|    138.|       37.04
    358.|      2.|    110.|        2.31
    358.|      3.|     70.|       41.79
    358.|      4.|     70.|       41.79
    358.|      5.|     70.|       41.79
    358.|      6.|     70.|       41.79
    359.|      1.|    138.|       38.14
    359.|      2.|    110.|        1.74
    359.|      3.|     70.|       41.12
    359.|      4.|     70.|       41.12
    359.|      5.|     70.|       41.12
    359.|      6.|     70.|       41.12
    360.|      1.|    138.|       39.23
    360.|      2.|    110.|        1.17
    360.|      3.|     70.|       40.43
    360.|      4.|     70.|       40.43
    360.|      5.|     70.|       40.43
    360.|      6.|     70.|       40.43
