Case    |No      |Node    |    F_X(t)  |    F_Y(t)  |    F_Z(t)  |    M_X(t.m)|    M_Y(t.m)|    M_Z(t.m)
     20.|      1.|    249.|      -26.06|       51.90|        1.16|        0.00|        0.00|        0.00
     20.|      2.|    122.|        2.62|       16.18|        1.65|        0.00|        0.00|        0.00
     20.|      3.|    122.|        2.62|       16.18|        1.65|        0.00|        0.00|        0.00
     20.|      4.|    122.|        2.62|       16.18|        1.65|        0.00|        0.00|        0.00
     20.|      5.|    122.|        2.62|       16.18|        1.65|        0.00|        0.00|        0.00
     20.|      6.|    122.|        2.62|       16.18|        1.65|        0.00|        0.00|        0.00
     21.|      1.|    249.|      -26.41|       52.59|        1.16|        0.00|        0.00|        0.00
     21.|      2.|    122.|        1.78|       15.07|        1.65|        0.00|        0.00|        0.00
     21.|      3.|    122.|        1.78|       15.07|        1.65|        0.00|        0.00|        0.00
     21.|      4.|    122.|        1.78|       15.07|        1.65|        0.00|        0.00|        0.00
     21.|      5.|    122.|        1.78|       15.07|        1.65|        0.00|        0.00|        0.00
     21.|      6.|    122.|        1.78|       15.07|        1.65|        0.00|        0.00|        0.00
     22.|      1.|    249.|      -26.74|       53.27|        1.16|        0.00|        0.00|        0.00
     22.|      2.|    122.|        0.94|       13.95|        1.65|        0.00|        0.00|        0.00
     22.|      3.|    122.|        0.94|       13.95|        1.65|        0.00|        0.00|        0.00
     22.|      4.|    122.|        0.94|       13.95|        1.65|        0.00|        0.00|        0.00
     22.|      5.|    122.|        0.94|       13.95|        1.65|        0.00|        0.00|        0.00
     22.|      6.|    122.|        0.94|       13.95|        1.65|        0.00|        0.00|        0.00
     23.|      1.|    249.|      -27.07|       53.93|        1.16|        0.00|        0.00|        0.00
     23.|      2.|    122.|        0.10|       12.83|        1.65|        0.00|        0.00|        0.00
     23.|      3.|    122.|        0.10|       12.83|        1.65|        0.00|        0.00|        0.00
     23.|      4.|    122.|        0.10|       12.83|        1.65|        0.00|        0.00|        0.00
     23.|      5.|    122.|        0.10|       12.83|        1.65|        0.00|        0.00|        0.00
     23.|      6.|    122.|        0.10|       12.83|        1.65|        0.00|        0.00|        0.00
     24.|      1.|    249.|      -27.39|       54.57|        1.16|        0.00|        0.00|        0.00
     24.|      2.|    122.|       -0.74|       11.70|        1.65|        0.00|        0.00|        0.00
     24.|      3.|    122.|       -0.74|       11.70|        1.65|        0.00|        0.00|        0.00
     24.|      4.|    122.|       -0.74|       11.70|        1.65|        0.00|        0.00|        0.00
